request_id,expected_path,observed_path,expected_steps,actual_steps,missing_steps,extra_steps,sequence_issues,step_count,expected_step_count,rework_count,exception_count,cycle_time_hours,has_unusual_sequence,variant_frequency,rare_path,drift_score,violation_points,ordering_points,rework_points,exception_points,rare_path_points,violation_count,critical_violation_count,high_violation_count,aligned
PR-14696,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,78.74,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-10506,Submitted → Manager → Director → Vendor Validation → Procurement → Bid Confirmed → Finance → Rejected,Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Procurement → Exception → Finance → Rejected,"[""Request Submitted"", ""Manager Approval"", ""Director Approval"", ""Vendor Validation"", ""Procurement Review"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Rejected""]","[""Request Submitted"", ""Manager Approval"", ""Returned for Revision"", ""Request Resubmitted"", ""Director Approval"", ""Vendor Validation"", ""Procurement Review"", ""Exception Approved"", ""Finance Approval"", ""Rejected""]","[""Competitive Bid Confirmed""]","[""Returned for Revision"", ""Request Resubmitted"", ""Exception Approved""]",[],10,8,1,1,87.74,False,1,True,12,0,0,5,3,4,0,0,0,True
PR-12645,Submitted → Manager → Security → Finance → PO Created → Payment,Submitted → Manager → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Security Review""]",[],[],5,6,0,0,34.14,False,449,False,22,22,0,0,0,0,1,1,0,False
PR-13015,Submitted → Manager → Procurement → PO Created → Payment,Submitted → Manager → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,27.77,False,345,False,0,0,0,0,0,0,0,0,0,True
PR-16920,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,41.45,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-18488,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,64.41,False,609,False,0,0,0,0,0,0,0,0,0,True
PR-12344,Submitted → Manager → Director → Legal → Bid Confirmed → Finance → PO Created → Payment,Submitted → Manager → Director → Legal → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Director Approval"", ""Legal Review"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Director Approval"", ""Legal Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Competitive Bid Confirmed""]",[],[],7,8,0,0,38.99,False,4,True,32,28,0,0,0,4,2,0,2,False
PR-18175,Submitted → Manager → Vendor Validation → Security → Procurement → Finance → PO Created → Payment,Submitted → Manager → Vendor Validation → Security → Procurement → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],8,8,0,0,106.63,False,54,False,0,0,0,0,0,0,0,0,0,True
PR-17111,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,73.2,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-11649,Submitted → Vendor Validation → Legal → Procurement → PO Created → Payment,Submitted → Legal → Procurement → PO Created → Payment,"[""Request Submitted"", ""Vendor Validation"", ""Legal Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Legal Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation""]",[],[],5,6,0,0,48.54,False,5,True,18,14,0,0,0,4,1,0,1,False
