violation_id,request_id,rule_id,rule_name,required_step,severity,violation_type,evidence,amount_at_risk
VIO-000001,PR-12645,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,13206.66
VIO-000002,PR-12344,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,63631.76
VIO-000003,PR-12344,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,63631.76
VIO-000004,PR-11649,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,649.26
VIO-000005,PR-11117,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,20613.9
VIO-000006,PR-11117,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,20613.9
VIO-000007,PR-14530,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6276.65
VIO-000008,PR-16190,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6453.61
VIO-000009,PR-16190,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6453.61
VIO-000010,PR-12029,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,5323.0
VIO-000011,PR-17758,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,11170.21
VIO-000012,PR-16998,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1267.58
VIO-000013,PR-14760,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,5831.92
VIO-000014,PR-18295,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3141.49
VIO-000015,PR-14250,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1628.94
VIO-000016,PR-17132,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,4629.17
VIO-000017,PR-17132,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,4629.17
VIO-000018,PR-12685,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,4986.18
VIO-000019,PR-12923,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,7238.92
VIO-000020,PR-10789,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2233.86
VIO-000021,PR-11896,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1775.8
VIO-000022,PR-12121,RULE-013,International vendor legal review,Legal Review,High,Missing required step,Legal Review was required but not observed,2080.63
VIO-000023,PR-13357,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,7810.23
VIO-000024,PR-15946,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3186.36
VIO-000025,PR-17245,RULE-003,Director approval,Director Approval,High,Missing required step,Director Approval was required but not observed,28135.81
VIO-000026,PR-18182,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,21556.71
VIO-000027,PR-10702,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6409.72
VIO-000028,PR-15264,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,4182.12
VIO-000029,PR-15246,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,4684.46
VIO-000030,PR-13633,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,5306.25
VIO-000031,PR-16362,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,7893.81
VIO-000032,PR-12133,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2380.55
VIO-000033,PR-18206,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,105569.74
VIO-000034,PR-18206,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0670 approved $105,570 with a $0 limit",105569.74
VIO-000035,PR-18206,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,105569.74
VIO-000036,PR-16174,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,7661.64
VIO-000037,PR-10412,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,71026.92
VIO-000038,PR-15005,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,18487.98
