pattern_id,employee_id,department_name,vendor_id,vendor_name,request_ids,transaction_count,first_date,last_date,combined_value,threshold,reason_flagged,review_status
PAT-0001,EMP-0165,Engineering,VEN-128,AIServices Partner 128,"PR-13458, PR-17825, PR-17856",3,2025-10-03,2025-10-11,27774.44,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0002,EMP-0279,Product,VEN-085,AIServices Partner 085,"PR-12807, PR-16454, PR-17400",3,2025-01-23,2025-02-04,28744.69,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0003,EMP-0410,Sales,VEN-122,Travel Partner 122,"PR-11935, PR-15077, PR-15965",3,2025-09-19,2025-09-27,28322.28,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0004,EMP-0545,Sales,VEN-094,Equipment Partner 094,"PR-10406, PR-14901, PR-15454",3,2025-05-09,2025-05-15,28566.91,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0005,EMP-0586,Sales,VEN-003,Contractor Partner 003,"PR-11328, PR-13859, PR-17559",3,2025-01-28,2025-02-09,27947.9,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0006,EMP-0711,Marketing,VEN-079,ProfessionalServices Partner 079,"PR-14861, PR-16281, PR-17525",3,2025-04-24,2025-05-04,28855.36,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0007,EMP-0752,Marketing,VEN-117,Facilities Partner 117,"PR-13115, PR-14812, PR-18214",3,2025-06-04,2025-06-16,27685.07,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0008,EMP-0773,Marketing,VEN-118,Software Partner 118,"PR-14366, PR-14989, PR-18196",3,2025-11-21,2025-12-03,28856.36,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0009,EMP-0964,Customer Success,VEN-069,Facilities Partner 069,"PR-10855, PR-11380, PR-15133",3,2025-05-14,2025-05-26,28278.36,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0010,EMP-1123,Field Operations,VEN-047,Software Partner 047,"PR-10079, PR-12449, PR-16196",3,2025-08-16,2025-08-22,28303.43,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0011,EMP-1196,Field Operations,VEN-007,Software Partner 007,"PR-10378, PR-17288, PR-17607",3,2025-09-05,2025-09-17,28423.53,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
PAT-0012,EMP-1269,Finance,VEN-095,Equipment Partner 095,"PR-16070, PR-16269, PR-17645",3,2025-11-02,2025-11-08,28779.31,10000.0,3 purchases between 88% and 100% of the Finance threshold within 21 days,Unreviewed indicator
