request_id,employee_id,department_id,vendor_id,request_date,purchase_type,amount,currency,description,urgency,risk_category,contract_required,security_review_required,competitive_bid_required,exception_documented,urgency_documented,final_status,source_system,system_period,department_name,business_unit,budget,vendor_name,vendor_category,approved_vendor,vendor_risk,contract_status,country,employee_name,employee_location
PR-14696,EMP-0180,D01,VEN-115,2025-01-01 08:00:00,AI Services,4984.28,USD,AI Services purchase for Engineering operations,Standard,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,AIServices Partner 115,AI Services,True,Low,Active,United States,Northstar Employee 0180,Austin
PR-10506,EMP-0967,D05,VEN-002,2025-01-01 08:00:00,Professional Services,36981.26,USD,Professional Services purchase for Customer Success operations,Priority,Medium,True,False,True,True,True,Rejected,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,ProfessionalServices Partner 002,Professional Services,False,Medium,Active,United States,Northstar Employee 0967,Austin
PR-12645,EMP-0065,D01,VEN-120,2025-01-01 08:00:00,AI Services,13206.66,USD,AI Services purchase for Engineering operations,Standard,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,AIServices Partner 120,AI Services,True,Low,Expired,United States,Northstar Employee 0065,Denver
PR-13015,EMP-1551,D08,VEN-138,2025-01-01 09:00:00,Contractor,2920.13,USD,Contractor purchase for People operations,Standard,Medium,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,People,Corporate,7500000,Contractor Partner 138,Contractor,True,Medium,Active,Canada,Northstar Employee 1551,Chicago
PR-16920,EMP-1851,D10,VEN-132,2025-01-01 09:00:00,Professional Services,8497.93,USD,Professional Services purchase for Information Security operations,Priority,Medium,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,ProfessionalServices Partner 132,Professional Services,True,Medium,Active,United States,Northstar Employee 1851,Austin
PR-18488,EMP-0041,D01,VEN-102,2025-01-01 09:00:00,Travel,2438.91,USD,Travel purchase for Engineering operations,Standard,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Travel Partner 102,Travel,False,High,Expired,United States,Northstar Employee 0041,San Francisco
PR-12344,EMP-1072,D06,VEN-090,2025-01-01 09:00:00,Equipment,63631.76,USD,Equipment purchase for Field Operations operations,Standard,Medium,True,False,True,True,True,Paid,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,Equipment Partner 090,Equipment,True,Low,Active,United States,Northstar Employee 1072,New York
PR-18175,EMP-0079,D01,VEN-075,2025-01-01 10:00:00,Software,12833.15,USD,Software purchase for Engineering operations,Standard,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Software Partner 075,Software,False,High,Active,United States,Northstar Employee 0079,New York
PR-17111,EMP-0535,D03,VEN-099,2025-01-01 10:00:00,Software,8169.51,USD,Software purchase for Sales operations,Urgent,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Sales,Revenue,24000000,Software Partner 099,Software,True,Low,Active,United States,Northstar Employee 0535,Denver
PR-11649,EMP-0893,D05,VEN-122,2025-01-01 10:00:00,Travel,649.26,USD,Travel purchase for Customer Success operations,Standard,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Travel Partner 122,Travel,False,High,Active,Germany,Northstar Employee 0893,Austin
PR-11117,EMP-1705,D09,VEN-073,2025-01-01 10:00:00,Software,20613.9,USD,Software purchase for Legal operations,Standard,High,True,True,True,True,True,Paid,ProcureFlow Classic,Before update,Legal,Corporate,6000000,Software Partner 073,Software,False,High,Active,India,Northstar Employee 1705,Chicago
PR-13198,EMP-0022,D01,VEN-062,2025-01-01 12:00:00,Travel,1120.69,USD,Travel purchase for Engineering operations,Priority,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Travel Partner 062,Travel,True,Low,Active,United States,Northstar Employee 0022,Austin
PR-18135,EMP-1121,D06,VEN-130,2025-01-01 12:00:00,Software,1267.3,USD,Software purchase for Field Operations operations,Priority,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,Software Partner 130,Software,True,Low,Active,United States,Northstar Employee 1121,Austin
PR-13621,EMP-0312,D02,VEN-042,2025-01-01 13:00:00,Travel,1106.25,USD,Travel purchase for Product operations,Standard,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Travel Partner 042,Travel,True,Medium,Active,United States,Northstar Employee 0312,San Francisco
PR-14530,EMP-0922,D05,VEN-066,2025-01-01 13:00:00,Contractor,6276.65,USD,Contractor purchase for Customer Success operations,Standard,High,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Contractor Partner 066,Contractor,False,High,Pending,United States,Northstar Employee 0922,San Francisco
PR-17110,EMP-0568,D03,VEN-129,2025-01-01 14:00:00,Equipment,8450.79,USD,Equipment purchase for Sales operations,Standard,High,False,True,False,True,True,Paid,ProcureFlow Classic,Before update,Sales,Revenue,24000000,Equipment Partner 129,Equipment,False,High,Active,United States,Northstar Employee 0568,Austin
PR-10786,EMP-0283,D02,VEN-027,2025-01-01 14:00:00,Equipment,6599.3,USD,Equipment purchase for Product operations,Urgent,High,False,True,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Equipment Partner 027,Equipment,False,High,Active,United States,Northstar Employee 0283,San Francisco
PR-11620,EMP-0458,D03,VEN-053,2025-01-01 14:00:00,Travel,2910.16,USD,Travel purchase for Sales operations,Priority,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Sales,Revenue,24000000,Travel Partner 053,Travel,True,Medium,Active,United States,Northstar Employee 0458,Chicago
PR-15154,EMP-1949,D10,VEN-092,2025-01-01 14:00:00,Contractor,4487.34,USD,Contractor purchase for Information Security operations,Priority,High,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,Contractor Partner 092,Contractor,False,High,Pending,United States,Northstar Employee 1949,New York
PR-17345,EMP-0653,D04,VEN-001,2025-01-01 14:00:00,AI Services,3449.86,USD,AI Services purchase for Marketing operations,Priority,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,AIServices Partner 001,AI Services,True,Low,Active,United States,Northstar Employee 0653,Austin
